name,family,v1_oos_sharpe,v1_oos_ret,v1_oos_dd,v1b_oos_sharpe,v1b_oos_ret,v1b_oos_dd,d_sharpe,d_ret
BTC_buyhold,BASE,-0.02109490698509708,-0.16613755822242182,-0.5373629896740321,-0.02109490698509708,-0.16613755822242182,-0.5373629896740321,0.0,0.0
equal_weight,BASE,-0.2870848958219845,-0.577546091908187,-0.785848452941984,-0.28708196457855006,-0.5796523447743611,-0.7857885601135222,2.931243434423081e-06,-0.002106252866174163
cash,BASE,,0.0,0.0,,0.0,0.0,,
random_top5,BASE,-2.3554312337463688,-0.9653350719609798,-0.9821724356513193,-2.36492957931874,-0.9656148806979388,-0.9826697438850622,-0.009498345572371392,-0.00027980873695898634
A_mom_30d,A,-0.470630695936557,-0.7658460990512268,-0.8936108559720618,-0.4434151338042492,-0.795174848448857,-0.8956938367019793,0.027215562132307802,-0.029328749397630194
A_mom_7d,A,-0.33704095798289996,-0.728693497004411,-0.8884399308806826,-0.2926223374052787,-0.7523708162802092,-0.8917459801137312,0.04441862057762125,-0.023677319275798192
B_ma_20_100,B,0.06386210215489134,-0.36790751890539064,-0.7740913597733883,0.008412155305189024,-0.4708215253981487,-0.7893116347269092,-0.055449946849702315,-0.10291400649275806
C_mr_24h,C,-1.693737692355681,-0.9582417696889818,-0.9718538697269757,-1.727914952569604,-0.9605119446949613,-0.9730588589682212,-0.03417726021392298,-0.00227017500597948
C_mr_72h,C,-1.4174097873548348,-0.935540979980082,-0.9597487559114685,-1.4804574052307327,-0.9416774972312133,-0.9623995460157339,-0.06304761787589785,-0.00613651725113129
D_vol_break,D,-2.118234291089239,-0.9236942360731396,-0.946042039893748,-2.1257343564382443,-0.9238984076400927,-0.9460078128847095,-0.007500065349005158,-0.00020417156695307082
E_btc_alt,E,-0.5191336717884735,-0.6862678428631976,-0.8279086955565239,-0.5217801933426076,-0.690218698740234,-0.8279429149198879,-0.0026465215541341403,-0.003950855877036363
F_rev_7d,F,-0.8931169370157935,-0.8712192849251884,-0.9286218188974669,-0.9606372191744402,-0.8835685967789765,-0.9342670261794235,-0.0675202821586467,-0.01234931185378807
I_mom_btc_filter,I,0.44904122168819643,0.1357096497705843,-0.5042205986515926,0.39030592213132237,0.015477387259526187,-0.5144755371287069,-0.058735299556874065,-0.12023226251105812
J_eth_btc_mr,J,-0.350727323002381,-0.16235569293699248,-0.36074028579404604,-0.3838779278514216,-0.16766106220058918,-0.36068893207155583,-0.03315060484904059,-0.005305369263596704
J_sol_eth_mr,J,-0.04675862865763833,-0.07970560702766749,-0.34331987305712486,-0.031929417258450186,-0.07205376795426854,-0.342178976661325,0.014829211399188143,0.007651839073398947
J_eth_btc_mom,J,-0.05884665429056742,-0.07228894507412631,-0.43495530082059486,-0.030899782135400088,-0.0633951599175393,-0.43641315583585827,0.027946872155167335,0.008893785156587009
G_vol_surge,G,-0.4147845462756733,-0.647775427224067,-0.8431020381355812,-0.2606930588034546,-0.6317118665938044,-0.8370239838731767,0.15409148747221868,0.016063560630262597
H_funding_spot,H,0.36989085620013695,0.08394901063571125,-0.16628369051979108,0.35732803535213364,0.08021825577327579,-0.16643533808007205,-0.012562820848003309,-0.003730754862435459
